Sample_ID	Well	Plate_ID	Substrate	Concentration	Isolate	Ribotype	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	MSE	dx_auc_lin	dx_auc_log	dx_k_lin	dx_k_log	dx_t_k	dx_gr	dx_dr	dx_td	dx_t_gr	dx_t_dr	dx_death_lin	dx_death_log	dx_lagC	dx_lagP	dx_t0	dx_tf	K_Error > 20%
42	C6	2020-06-22-R1	Fructose	Low	CD2058	Unknown	6	0	0	0.093	0.091	0.382	5.977999999999999	2.9191919191919196	0.093	3.0642698639354324e-05	0.1949319861286183	0.1796968894173493	0.2409410605730018	0.2158700115998575	4.166666666666667	0.1469349789685156	0.14102905824639955	4.717373530971607	3.8333333333333335	4.166666666666667	0.0	0.0	2.692079266237206	0.0	0.0	4.333333333333333	FALSE
42	C6	2020-06-22-R1	Fructose	Low	CD2058	Unknown	6	0	0	0.093	0.091	0.382	5.977999999999999	2.9191919191919196	0.093	3.0642698639354324e-05	12.233956441561883	7.829224723733003	1.5376618748343889	0.9312431353713991	9.333333333333334	0.35050527893502115	-0.18085615402342672	1.9775655952059006	6.5	15.166666666666666	0.32461888930712934	0.13687465039386137	5.167299906533522	4.333333333333333	4.333333333333333	15.333333333333334	FALSE
42	C6	2020-06-22-R1	Fructose	Low	CD2058	Unknown	6	0	0	0.093	0.091	0.382	5.977999999999999	2.9191919191919196	0.093	3.0642698639354324e-05	2.255136152718999	1.9149588208982664	0.5275324936319217	0.4236536842641485	17.5	0.5818104227417824	-0.09984407640960484	1.1913626044949286	16.666666666666668	19.333333333333332	0.3946931785911749	0.29892653483496656	16.446825253719794	16.0	15.333333333333334	24.0	FALSE
44	E6	2020-06-22-R1	Trehalose	Low	CD2058	Unknown	6	0	0	0.093	0.092	0.358	5.414	2.676767676767677	0.093	1.6655319579247362e-05	7.424902319401693	5.037236849592039	1.3719176825367057	0.8636987767123371	9.166666666666666	0.22684807753748112	-0.07863108937907659	3.055556776518944	7.166666666666667	12.0	0.1865964114478671	0.08193592415007678	4.497053137986663	0.0	0.0	12.166666666666666	FALSE
44	E6	2020-06-22-R1	Trehalose	Low	CD2058	Unknown	6	0	0	0.093	0.092	0.358	5.414	2.676767676767677	0.093	1.6655319579247362e-05	5.925568169248003	4.594634537302173	0.7914572485393434	0.5830293939779067	16.5	0.31359295339646914	-0.044189610537219454	2.2103404207670874	14.5	23.833333333333332	0.32208103894247375	0.19819143046103305	13.699877105341661	13.0	12.166666666666666	24.0	FALSE
45	F6	2020-06-22-R1	Trehalose	High	CD2058	Unknown	6	0	0	0.086	0.085	0.356	5.700666666666667	2.7272727272727275	0.086	6.584242821195728e-06	0.44886366812839623	0.4005973401287304	0.41341076196024185	0.3460057634809775	5.333333333333333	0.22254338462874454	0.22254338462874454	3.114660908551742	5.333333333333333	5.333333333333333	0.0	0.0	3.7785544120987264	0.0	0.0	5.5	FALSE
45	F6	2020-06-22-R1	Trehalose	High	CD2058	Unknown	6	0	0	0.086	0.085	0.356	5.700666666666667	2.7272727272727275	0.086	6.584242821195728e-06	3.7512457600270928	2.8303734514208503	0.8208291602826703	0.5992919799153682	9.166666666666666	0.2674396916506454	-0.021893467629181717	2.5917887366748786	6.666666666666667	11.5	0.013133943799582548	0.007239307109782489	5.609847959274904	5.5	5.5	11.666666666666666	FALSE
45	F6	2020-06-22-R1	Trehalose	High	CD2058	Unknown	6	0	0	0.086	0.085	0.356	5.700666666666667	2.7272727272727275	0.086	6.584242821195728e-06	4.758818039553038	3.953752567915964	0.542054981382986	0.4331159303958746	15.166666666666666	0.4168270581961985	-0.07402670551038383	1.662913112117794	13.0	15.5	0.19872027532291692	0.1379608212249701	12.448961718713223	12.0	11.666666666666666	24.0	FALSE
46	G6	2020-06-22-R1	Water	None	CD2058	Unknown	6	1	0	0.087	0.086	0.186	3.3848333333333334	1.0	0.087	1.163386274814965e-06	0.728976911169438	0.6306108037165583	0.49354714303868286	0.4011539236520336	6.833333333333333	0.16463690387264063	0.0996058606192885	4.210156801151632	5.666666666666667	6.833333333333333	0.0	0.0	4.1852990299257655	0.0	0.0	7.0	FALSE
46	G6	2020-06-22-R1	Water	None	CD2058	Unknown	6	1	0	0.087	0.086	0.186	3.3848333333333334	1.0	0.087	1.163386274814965e-06	3.3521574926876228	2.9710167939538854	0.40660064138138896	0.34117590087162075	10.0	0.1729272378065925	-0.043196752875401714	4.008316962393073	8.333333333333334	15.0	0.3297190603778315	0.2671064613855407	7.313870919080541	7.0	7.0	24.0	FALSE
48	A7	2020-06-22-R1	Glucose	Low	CD3014	RT001	7	0	0	0.094	0.092	0.675	10.426166666666665	7.545454545454547	0.094	2.6009669415617784e-05	2.6484978459730084	1.896867949477357	1.7131822365548617	0.9981222030223807	7.0	0.36019457818017847	0.2898208836908059	1.9243687233215805	5.833333333333333	7.0	0.0	0.0	4.131860659589631	0.0	0.0	7.166666666666667	FALSE
48	A7	2020-06-22-R1	Glucose	Low	CD3014	RT001	7	0	0	0.094	0.092	0.675	10.426166666666665	7.545454545454547	0.094	2.6009669415617784e-05	18.5920234957211	12.235270567772062	1.480130920505264	0.908311349309836	11.833333333333334	0.337703092138905	-0.04759034349327618	2.052534302158057	8.666666666666666	13.333333333333334	0.6379627607373175	0.2973681236957235	7.298723872701313	7.166666666666667	7.166666666666667	24.0	FALSE
49	B7	2020-06-22-R1	Glucose	High	CD3014	RT001	7	0	0	0.091	0.09	0.58	9.233	6.35064935064935	0.091	7.442248985407535e-05	5.7610486230495646	3.501403168355171	2.6958499278448724	1.3072105490169998	8.333333333333334	0.3469670065574795	0.17162725315042307	1.9977322554013985	6.166666666666667	8.333333333333334	0.0	0.0	4.043869560920633	0.0	0.0	8.5	FALSE
49	B7	2020-06-22-R1	Glucose	High	CD3014	RT001	7	0	0	0.091	0.09	0.58	9.233	6.35064935064935	0.091	7.442248985407535e-05	7.347960848046163	5.92182653364088	0.6948203962645145	0.527576774312269	12.0	0.20644235637929148	-0.04978923524874617	3.3575821973589712	10.0	23.833333333333332	0.3396095820098768	0.2236197496065555	8.63811970661693	8.5	8.5	24.0	FALSE
50	C7	2020-06-22-R1	Fructose	Low	CD3014	RT001	7	0	0	0.091	0.089	0.636	9.346166666666665	7.077922077922079	0.091	4.112577143065664e-05	3.098258039890267	2.1157667599697034	1.8654046336010142	1.052709573562801	7.333333333333333	0.38757320487341945	0.1713064743509143	1.7884290550641282	6.0	7.333333333333333	0.0	0.0	4.310078831529374	0.0	0.0	7.5	FALSE
50	C7	2020-06-22-R1	Fructose	Low	CD3014	RT001	7	0	0	0.091	0.089	0.636	9.346166666666665	7.077922077922079	0.091	4.112577143065664e-05	14.542496035167563	10.147478178644388	1.2968227975104285	0.831526775546281	12.333333333333334	0.3623587795186591	-0.10930280239005775	1.9128753592798013	9.166666666666666	23.833333333333332	0.7391690326387426	0.38834608330056053	8.015426281718453	7.5	7.5	24.0	FALSE
51	D7	2020-06-22-R1	Fructose	High	CD3014	RT001	7	0	0	0.093	0.092	0.595	9.350333333333333	6.51948051948052	0.093	3.109799877010568e-05	2.6020186805293264	1.8860854748696108	1.5231162269095533	0.9254947355457721	7.333333333333333	0.2728863760401921	0.24697734899043058	2.5400578461192764	6.0	7.333333333333333	0.0	0.0	3.886709494917198	0.0	0.0	7.5	FALSE
51	D7	2020-06-22-R1	Fructose	High	CD3014	RT001	7	0	0	0.093	0.092	0.595	9.350333333333333	6.51948051948052	0.093	3.109799877010568e-05	17.539000514440954	11.676855136821407	1.3522627776458305	0.8553777489851401	12.0	0.26902234694039173	-0.030045842739769353	2.576541274147491	9.0	16.5	0.34035963529451463	0.15629663789084902	7.573917054989598	7.5	7.5	24.0	FALSE
